Titulo;Autor - Apellido;Autor - Nombre;Genero;Editorial;Coleccion
Tiempo nublado;Paz; Octavio;;El Mundo;Las 100 mejores novelas
El Pastor y Las Estrellas - Una filosofia de vida;Santa;Eduardo;;Principe;
El lobo estepario;Hesse;Hermann;;Epoca;
El ultimo soldurio;Lorenzo; Javier;;Booket;
Un espia perfecto;Le Carre; John;;Plaza&Janes;Exitos
El burgomaestre de Stilmonde;;;;;
El secreto egipcio de Napoleon;Sierra; Javier;;Debolsillo;Bestseller
Fenomenologia del Espiritu;Hegel; Georg Wilhelm Friedrich ;;Revista de occidente;
La Ara�a Negra (1);Blasco Iba�ez; Vicente;;ATE;
;Laurentiev;M.A.;;;
Las cerezas del cementerio;Miro; Gabriel;;El Mundo;Las 100 mejores novelas
La otra historia de los cataros;Lambert; Malcom;;Planeta;
Iacobus;Asensi; Matilde;;Booket;
Historia del tiempo;Hawking; Stephen W.;;Critica;
Cinco cerditos;Christie; Agatha;;Molino;Poirot
Atlas historico mundial;Duby; Georges;Historia;Debate;
Solico en el mundo;Alvarez Quintero; Serafin y Joaquin;;N/A;
El beso;;;;;
"Sonatas:
Sonata de Primavera";Valle-Inclan; Ramon del;;Desvan de Hanta;
Desaparecida;Coben; Harlan;;RBA;Serie negra
Los Asesinos entre Nosotros;Wiesenthal;Simon;Memorias;Noguer;
El laberinto;Mosse; Kate;;Booket;
Los gozos y las sombras I - El se�or llega;Torrente Ballester; Gonzalo;Novela;El Mundo;Las 100 mejores novelas
;Machado; Antonio;;;
Perry Mason - El caso de la divorciada atrevida;Gardner; Erle Stanley;;Molino;
Un mundo para Julius;Bryce Echenique; Alfredo;;Plaza&Janes;Ave Fenix
Con el viento solano;Aldecoa;Ignacio;;El Mundo;Las 100 mejores novelas
La matematica: su contenido, metodo y significado - 3;Aleksandrov;A.D.;Divulgacion;Alianza;Universidad
Isabel I, reina;Suarez; Luis;Biografia;ABC;Protagonistas de la historia
La ciudadela de las Piedras;Heaven; Constance;;Ultramar;
Cinco historias del mar;Pla; Josep;;Caja Madrid;
El cochero Henschel;;;;;
Locke (34);Gamarra Quintanilla;Garikoitz;Filosofia;RBA;Comprender la Filosofia
El bosque de los cuatro vientos;Oru�a;Maria;Novela;Booket;
Siete cuentos misoginos;Highsmith; Patricia;;Alianza;Alianza Cien
Grand hotel;Baum; Vicki;;Circulo de Lectores;
Perry Mason - El caso del patito que se ahogaba;Gardner; Erle Stanley;;Molino;
Anatomia de un asesinato;Traver; Robert;;Circulo de Lectores;
El Laberinto de las aceitunas;Mendoza; Eduardo;;El Mundo;Las 100 mejores novelas
La caba�a del Tio Tom;Stowe;Harriet Beecher;Novela juvenil;SM;
EL don apacible;Sholojov;Mijail;;;
Chicas de Servir;Vizcaino Casas;Fernando;;Planeta;Fabula
Como explicar fisica cuantica con un gato zombi;Big Van;;;Alfaguara;
El pozo de la soledad;Hall;Radclyffe;;Epoca;
